Banco;Sector;Entidad Responsable;Bpin;Nombre Proyecto;Estado;Horizonte;Valor Total;Localizaciones
Territorio;Agricultura Y Desarrollo Rural;Angelópolis,Antioquia;202500000009496;Fortalecimiento De La Inclusión Productiva Y El Empoderamiento De Pequeños Productores Rurales Para Promover El Desarrollo Sostenible En El Municipio De   Angelópolis;En Ejecución;2025 - 2027;93954064,00;1
Territorio;Vivienda, Ciudad Y Territorio;San Juan de Urabá,Antioquia;202500000009455;Implementación Del Programa De Saneamiento Y Titulación De Bienes Fiscales Del Municipio De  San Juan De Urabá;En Ejecución;2025 - 2025;69960000,00;1
Territorio;Inclusión Social Y Reconciliación;San Juan de Urabá,Antioquia;202500000009432;Implementación Del Programa De Atención Y Protección Integral A Victimas En El Municipio De   San Juan De Urabá;En Ejecución;2025 - 2025;562680000,00;1
Territorio;Salud Y Protección Social;Betulia,Antioquia;202500000009420;Fortalecimiento A La Atenciòn Del Régimen Subsidado 2025 Del Municipio De  Betulia, Antioquia;En Ejecución;2025 - 2025;22691703230,00;1
Territorio;Tecnologías De La Información Y Las Comunicaciones;Cisneros,Antioquia;202500000009417;Fortalecimiento De Los Medios De Comunicación E Imagen Corporativa Del Municipio De  Cisneros;En Ejecución;2025 - 2027;393001000,00;1
Territorio;Deporte Y Recreación;Amalfi,Antioquia;202500000009397;Dotación De Juegos Infantiles En Zonas Verdes E Instituciones Educativas Del Municipio De   Amalfi;En Ejecución;2025 - 2028;57500000,00;1
Territorio;Deporte Y Recreación;Amalfi,Antioquia;202500000009393;Mejoramiento De La Infraestructura Deportiva Pública Del Municipio De   Amalfi;En Ejecución;2025 - 2028;1059600000,00;1
Territorio;Deporte Y Recreación;Remedios,Antioquia;202500000009391;Adecuación Cancha De Futbol  Hernando Ramirez  En El Corregimiento De Santa Isabel Municipio De    Remedios;Viable;2025 - 2025;0,00;1
Territorio;Gobierno Territorial;Amalfi,Antioquia;202500000009390;Construcción De Nueva Infraestructura Administrativa Y De Seguridad En El Municipio De   Amalfi;En Ejecución;2025 - 2026;345000000,00;1
Territorio;Transporte;Amalfi,Antioquia;202500000009387;Fortalecimiento Del Parque Automotor Del Municipio De   Amalfi;En Ejecución;2025 - 2028;896650117,00;1
Territorio;Transporte;Amalfi,Antioquia;202500000009385;Construcción De Puentes Para El Mejoramiento De La Movilidad En El Área Urbana Del Municipio De  Amalfi;Viable;2025 - 2026;0,00;1
Territorio;Gobierno Territorial;Amalfi,Antioquia;202500000009381;Construcción Y Adecuación De La Infraestructura Para El Fortalecimiento Social Y La Construcción De Paz En El Municipio De  Amalfi;En Ejecución;2025 - 2028;278000000,00;1
